"Curation";"Variable ID";"Variable name";"Variable synonyms";"Context of use";"Growth stage";"Variable status";"Variable Xref";"Institution";"Scientist";"Date";"Language";"Crop";"Trait ID";"Trait name";"Trait class";"Trait description";"Trait synonyms";"Main trait abbreviation";"Alternative trait abbreviations";"Entity";"Attribute";"Trait status";"Trait Xref";"Method ID";"Method name";"Method class";"Method description";"Formula";"Method reference";"Scale ID";"Scale name";"Scale class";"Decimal places";"Lower limit";"Upper limit";"Scale Xref";"Category 1";"Category 2";"Category 3";"Category 4";"Category 5";"Category 6";"Category 7";"Category 8";"Category 9";"Category 10";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;"CO_321:0001210";"TestWt_M_gl";"TESTWT_g_l";"Trial evaluation";"After harvest (From DS87)";;"BMS_22685";"CIMMYT, T3";"Rosemary Shrestha, Julian Pietragalla, Jean-Luc Jannink";"21-dec-18";"EN";"Wheat";"CO_321:0000159";"Grain test weight";"Quality traits";"Test weight or specific weight is the weight of a fixed volume of clean grains.";"Grain hectoliter weight, Grain specific weigh, Test weight";"TestWt";;"Grain";"Test weight";;;"CO_321:0000397";"AACC 55-10 or SeedCount management procedure";"Measurement";"Standard method for test weight.";;;"CO_321:0000867";"g/l";"Numerical";"1.0";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;"CO_321:0001211";"TestWt_M_kghl";"TESTWT_kg_hl";"Trial evaluation";"After harvest (From DS87)";;"BMS_22684";"CIMMYT";"Rosemary Shrestha, Julian Pietragalla";"23-sept-14";"EN";"Wheat";"CO_321:0000159";"Grain test weight";"Quality traits";"Test weight or specific weight is the weight of a fixed volume of clean grains.";"Grain hectoliter weight, Grain specific weigh, Test weight";"TestWt";;"Grain";"Test weight";;;"CO_321:0000397";"AACC 55-10 or SeedCount management procedure";"Measurement";"Standard method for test weight.";;;"CO_321:0000423";"kg/hl";"Numerical";"1.0";"37.0";"87.0";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;"CO_321:0001212";"GVtr_E_1to3";"SEDVTR_1_3";"Descriptor";"After harvest (From DS87)";;"BMS_29165";"CIMMYT";"Rosemary Shrestha, Julian Pietragalla";"23-sept-14";"EN";"Wheat";"CO_321:0000042";"Grain vitreousness";"Quality traits";"One of the key quality parameters in the determination of durum quality referring to translucent or glass-like appearance when seeds are transversely sectioned and observed whether not vitreous/partly vitreous/vitreous. it is associated with high protein and hard grain.";"Seed vitreousness";"GVtr";"SdVtr, SEDVTR";"Grain";"Vitreousness";;;"CO_321:0000262";"GVtr Estimation";"Estimation";"Standard method for seed vitreousness.";;;"CO_321:0000454";"1-3 SEDVTR scale";"Ordinal";;;;;"NV= not vitreous (NV)";"PV= partly vitreous (PV)";"V= vitreous (V)";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;"CO_321:0001213";"GW_M_g1000grn";"TGW, TKW, THOUWT, TGW_g";"Trial evaluation";"After physiological maturity (DS87)";;"BMS_22683";"CIMMYT, T3";"Rosemary Shrestha, Julian Pietragalla, Jean-Luc Jannink";"21-dec-18";"EN";"Wheat";"CO_321:0000025";"Grain weight";"Agronomical traits";"Grain weight usually expressed as weight of single, one hundred, two hundred or thousand grains.";"kernel weight";"GW";"GrnWt, GrnW, KW, KrnWt";"Grain";"Weight";;;"CO_321:0000246";"GW Measurement";"Measurement";"Dry grains at 70oC and weigh.";;"Bell and Fischer, 1994, Reynolds et al., 2001, Pask et al., 2012";"CO_321:0001033";"g/1000 grain";"Numerical";"1.0";"20.0";"70.0";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;"CO_321:0001214";"GW_M_g100grn";"GW100_g";"Trial evaluation";"After physiological maturity (DS87)";;"BMS_29001";"CIMMYT";"Rosemary Shrestha, Julian Pietragalla";"25-oct-15";"EN";"Wheat";"CO_321:0000025";"Grain weight";"Agronomical traits";"Grain weight usually expressed as weight of single, one hundred, two hundred or thousand grains.";"kernel weight";"GW";"GrnWt, GrnW, KW, KrnWt";"Grain";"Weight";;;"CO_321:0000246";"GW Measurement";"Measurement";"Dry grains at 70oC and weigh.";;"Bell and Fischer, 1994, Reynolds et al., 2001, Pask et al., 2012";"CO_321:0001432";"g/100 grain";"Numerical";"1.0";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;"CO_321:0001215";"GW_M_g200grn";"GW200_g";"Trial evaluation";"After physiological maturity (DS87)";;"BMS_29003";"CIMMYT";"Rosemary Shrestha, Julian Pietragalla";"25-oct-15";"EN";"Wheat";"CO_321:0000025";"Grain weight";"Agronomical traits";"Grain weight usually expressed as weight of single, one hundred, two hundred or thousand grains.";"kernel weight";"GW";"GrnWt, GrnW, KW, KrnWt";"Grain";"Weight";;;"CO_321:0000246";"GW Measurement";"Measurement";"Dry grains at 70oC and weigh.";;"Bell and Fischer, 1994, Reynolds et al., 2001, Pask et al., 2012";"CO_321:0001433";"g/200 grain";"Numerical";"1.0";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;"CO_321:0001216";"GYellBer_M_pct";"YELBER_pct";"Trial evaluation";"After harvest (From DS87)";;"BMS_29209";"CIMMYT";"Rosemary Shrestha, Julian Pietragalla";"23-sept-14";"EN";"Wheat";"CO_321:0000174";"Grain yellow berry incidence";"Quality traits";"Refers to grains showing chalky or starchy endosperm areas.";;"GYellBer";"YELBER";"Grain";"Yellow berry incidence";;;"CO_321:0000399";"GYellBer Measurement";"Measurement";"Standard method for yellow berry incidence.";;;"CO_321:0000410";"%";"Numerical";"1.0";"0.0";"100.0";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;"CO_321:0001217";"GY_Calc_gm2";"Yld_gm2, GY_gm2, GRNYLD_g_m2";"Trial evaluation";"After physiological maturity (DS87)";;"BMS_29086";"CIMMYT";"Rosemary Shrestha, Julian Pietragalla";"25-oct-15";"EN";"Wheat";"CO_321:0000013";"Grain yield";"Agronomical traits";"Amount (weight) of grains that was harvested.";;"GY";"GrnYld, Yld";"Grain";"Yield";;;"CO_321:0001028";"GY Computation";"Computation";"Use formulae to calculate grain yield in g/m2";"xxxx";"Bell and Fischer, 1994, Reynolds et al., 2001, Pask et al., 2012";"CO_321:0000805";"g/m2";"Numerical";"0.0";"0.0";"100.0";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;"CO_321:0001218";"GY_Calc_kgha";"Yld_kgha, GY_kgha, GRNYLD_kg_ha";"Trial evaluation";"After physiological maturity (DS87)";;"BMS_18000";"CIMMYT, T3";"Rosemary Shrestha, Julian Pietragalla, Jean-Luc Jannink";"21-dec-18";"EN";"Wheat";"CO_321:0000013";"Grain yield";"Agronomical traits";"Amount (weight) of grains that was harvested.";;"GY";"GrnYld, Yld";"Grain";"Yield";;;"CO_321:0001028";"GY Computation";"Computation";"Use formulae to calculate grain yield in g/m2";"xxxx";"Bell and Fischer, 1994, Reynolds et al., 2001, Pask et al., 2012";"CO_321:0000804";"kg/ha";"Numerical";"0.0";"0.0";"20000.0";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;"CO_321:0001219";"GY_Calc_tha";"Yld_tha, GY_tha, GRNYLD_t_ha";"Trial evaluation";"After physiological maturity (DS87)";;"BMS_22661";"CIMMYT";"Rosemary Shrestha, Julian Pietragalla";"23-sept-14";"EN";"Wheat";"CO_321:0000013";"Grain yield";"Agronomical traits";"Amount (weight) of grains that was harvested.";;"GY";"GrnYld, Yld";"Grain";"Yield";;;"CO_321:0001028";"GY Computation";"Computation";"Use formulae to calculate grain yield in g/m2";"xxxx";"Bell and Fischer, 1994, Reynolds et al., 2001, Pask et al., 2012";"CO_321:0000432";"t/ha";"Numerical";"2.0";"0.0";"20.0";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;"CO_321:0001220";"GY_M_gPlnt";"GRNYLD_g_pl";"Trial evaluation";"After physiological maturity (DS87)";;"BMS_29087";"CIMMYT";"Rosemary Shrestha, Julian Pietragalla";"25-oct-15";"EN";"Wheat";"CO_321:0000013";"Grain yield";"Agronomical traits";"Amount (weight) of grains that was harvested.";;"GY";"GrnYld, Yld";"Grain";"Yield";;;"CO_321:0000236";"GY Measurement";"Measurement";"The weight of the grain harvested is registered on a scale, decide which method suit better for your objectives. In breeding trials, a sample area (rather than the whole plot) is generally used for estimating yield. Discard borders when combine harvest for a better estimation of yield.";;"Bell and Fischer, 1994, Reynolds et al., 2001, Pask et al., 2012";"CO_321:0001431";"g/plant";"Numerical";"1.0";"0.0";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;"CO_321:0001221";"GY_M_gPlot";"PLOTGRNYLD_g";"Trial evaluation";"After physiological maturity (DS87)";;"BMS_22662";"CIMMYT, T3";"Rosemary Shrestha, Julian Pietragalla, Jean-Luc Jannink";"21-dec-18";"EN";"Wheat";"CO_321:0000013";"Grain yield";"Agronomical traits";"Amount (weight) of grains that was harvested.";;"GY";"GrnYld, Yld";"Grain";"Yield";;;"CO_321:0000236";"GY Measurement";"Measurement";"The weight of the grain harvested is registered on a scale, decide which method suit better for your objectives. In breeding trials, a sample area (rather than the whole plot) is generally used for estimating yield. Discard borders when combine harvest for a better estimation of yield.";;"Bell and Fischer, 1994, Reynolds et al., 2001, Pask et al., 2012";"CO_321:0000412";"g/plot";"Numerical";"1.0";"0.0";"12000.0";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;"CO_321:0001222";"GY_M_kgPlot";"PLOTGRNYLD_kg";"Trial evaluation";"After physiological maturity (DS87)";;"BMS_22665";"CIMMYT";"Rosemary Shrestha, Julian Pietragalla";"25-oct-15";"EN";"Wheat";"CO_321:0000013";"Grain yield";"Agronomical traits";"Amount (weight) of grains that was harvested.";;"GY";"GrnYld, Yld";"Grain";"Yield";;;"CO_321:0000236";"GY Measurement";"Measurement";"The weight of the grain harvested is registered on a scale, decide which method suit better for your objectives. In breeding trials, a sample area (rather than the whole plot) is generally used for estimating yield. Discard borders when combine harvest for a better estimation of yield.";;"Bell and Fischer, 1994, Reynolds et al., 2001, Pask et al., 2012";"CO_321:0000806";"kg/plot";"Numerical";"3.0";"1.0";"6.0";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;"CO_321:0001223";"GY_PctChk_pct";"YLDCHECK_pct";"Trial evaluation";"After physiological maturity (DS87)";;"BMS_29210";"CIMMYT";"Rosemary Shrestha, Julian Pietragalla";"23-sept-14";"EN";"Wheat";"CO_321:0000013";"Grain yield";"Agronomical traits";"Amount (weight) of grains that was harvested.";;"GY";"GrnYld, Yld";"Grain";"Yield";;;"CO_321:0000950";"GY Relative to check Computation";"Computation";"Calculate grain yield of an entry as percentage over a local check.";"xxxx";"Bell and Fischer, 1994, Reynolds et al., 2001, Pask et al., 2012";"CO_321:0000410";"%";"Numerical";"1.0";"0.0";"100.0";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;"CO_321:0001224";"GYFac_Calc_num";"YLDFAC_num";"Trial evaluation";"After harvest (From DS87)";;"BMS_23176";"CIMMYT";"Rosemary Shrestha, Julian Pietragalla";"25-oct-15";"EN";"Wheat";"CO_321:0000645";"Grain yield factor";"Agronomical traits";"Yield factor.";;"GYFac";"YLDFAC";"Grain";"Yield factor";;;"CO_321:0000822";"GYFac Computation";"Computation";"Standard method for yield factor";"xxxx";;"CO_321:0000896";"num";"Numerical";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;"CO_321:0001225";"GZinc_M_mgkg";"GRNZINC_mg_kg";"Trial evaluation";"After harvest (From DS87)";;"BMS_29088";"CIMMYT";"Rosemary Shrestha, Julian Pietragalla";"25-oct-15";"EN";"Wheat";"CO_321:0000224";"Grain Zinc content";"Quality traits";"Content of zinc in grain.";;"GZinc";"GRNZINC";"Grain";"Zinc content";;;"CO_321:0000404";"GZinc Measurement";"Measurement";"Standard method for grain zinc content.";;;"CO_321:0000865";"mg/kg";"Numerical";"2.0";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;"CO_321:0001226";"GZinc_M_ppm";"GRNZINC_ppm";"Trial evaluation";"After harvest (From DS87)";"Obsolete";"BMS_29089";"CIMMYT, T3";"Rosemary Shrestha, Julian Pietragalla, Jean-Luc Jannink";"21-dec-18";"EN";"Wheat";"CO_321:0000224";"Grain Zinc content";"Quality traits";"Content of zinc in grain.";;"GZinc";"GRNZINC";"Grain";"Zinc content";;;"CO_321:0000404";"GZinc Measurement";"Measurement";"Standard method for grain zinc content.";;;"CO_321:0000425";"ppm";"Numerical";"1.0";"1.0";"15.0";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;"CO_321:0001227";"GrwCls_E_1to3";"GROWTHCLS_1_3";"Descriptor";"DS55-DS81";;"BMS_29090";"CIMMYT";"Rosemary Shrestha, Julian Pietragalla";"25-oct-15";"EN";"Wheat";"CO_321:0000665";"Growth class";"Phenological traits";"Classification of vernalization responsive growth habit as winter, facultative or spring wheat.";"Seasonality, Vernalization response";"GrwCls";;"Plant";"Growth class";;;"CO_321:0000839";"GrwCls Estimation";"Estimation";"Classification of vernalization responsive growth habit as winter, facultative or spring wheat";;;"CO_321:0000851";"1-3 GROWTHCLS scale";"Nominal";;;;;"W= winter";"I= facultative (intermediate)";"S= spring";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;"CO_321:0001228";"GrwStg_Zdks_00to99";"GRWSTG_00_99, DECODS";"Research-intensive characterization";"DS00-DS99";;"BMS_22995";"CIMMYT, T3";"Rosemary Shrestha, Julian Pietragalla, Jean-Luc Jannink";"23-sept-14";"EN";"Wheat";"CO_321:0000016";"Growth stage";"Phenological traits";"Growth/developmental stages based on Zadoks decimal code.";;"GrwStg";"DECODS";"Plant";"Growth stage";;;"CO_321:0000239";"GrwStg Zadoks Estimation";"Estimation";"Observe the growth stage or development stage (DS) of wheat plants using the Zadoks scale decimal code, based on 10 major stages, with each stage divided into sub-stages.";;"Zadoks et al., 1974,  Pask et al., 2012";"CO_321:0000476";"Zadoks or decimal code (00-99)";"Ordinal";;;;;"96= Ripening, 50% of viable seed germinates";"97= Ripening, Seed not dormant";"94= Ripening, Overripe, straw dead and collapsing";"95= Ripening, Seed dormant";"22= Tillering, Main shoot and 2 Tillers";"87= Dough development, Hard dough (thumbnail impression held)";"85= Dough development, Soft dough (firm, thumbnail mark not held)";"20= Tillering, Main shoot only";"83= Dough development, Early dough (elastic, dry and shiny)";"21= Tillering, Main shoot and 1 Tiller";"81= Dough development, Very early dough (slides when crushed)";"93= Ripening, Kernel loosening in daytime";"92= Ripening, Kernel hard (not dented by thumbnail)";"91= Ripening, Kernel hard (difficult to divide, 16% water)";"14= Seedling development , 4 leaves unfolded";"15= Seedling development , 5 leaves unfolded";"13= Seedling development , 3 leaves unfolded";"18= Seedling development , 8 leaves unfolded";"19= Seedling development , 9 or more leaves unfolded";"16= Seedling development , 6 leaves unfolded";"17= Seedling development , 7 leaves unfolded";"73= Kernel and milk development, Early milk (liquid off -white)";"75= Kernel and milk development, Medium milk (milky liquid)";"77= Kernel and milk development, Late milk (more solids in milk)";"55= Heading, ½ of head emerged";"53= Heading, ¼ of head emerged";"59= Heading, Emergence of head complete";"57= Heading, ¾ of head emerged";"65= Flowering or anthesis, Flowering half complete";"61= Flowering or anthesis, Start of flowering";"71= Kernel and milk development, Kernel watery ripe (clear liquid)";"69= Flowering or anthesis, Flowering complete";"49= Booting, First awns visible";"51= Heading, First spikelet of head visible";"00= Germination, Dry seed";"45= Booting, Boot swollen";"05= Germination, Radicle emerged from seed";"43= Booting, Boot just visibly swollen";"07= Germination, Coleoptile emerged from seed";"41= Booting, Flag leaf sheath extending";"01= Germination, Water uptake (imbibition) started";"03= Germination, Imbibition complete";"39= Stem elongation or jointing, Flag leaf ligule/collar just visible";"11= Seedling development , First leaf unfolded";"37= Stem elongation or jointing, Flag leaf just visible";"12= Seedling development , 2 leaves unfolded";"36= Stem elongation or jointing, 6th node detectable";"09= Germination, Leaf just at coleoptile tip";"35= Stem elongation or jointing, 5th node detectable";"10= Seedling development , First leaf emerged";"34= Stem elongation or jointing, 4th node detectable";"47= Booting, Flag leaf sheath opening";"33= Stem elongation or jointing, 3rd node detectable";"98= Ripening, Secondary dormancy";"99= Ripening, Secondary dormancy lost";"28= Tillering, Main shoot and 8 Tillers";"27= Tillering, Main shoot and 7 Tillers";"30= Stem elongation or jointing, Pseudo stem erection";"29= Tillering, Main shoot and 9 or more Tillers 89 Late hard dough (difficult to dent)";"24= Tillering, Main shoot and 4 Tillers";"23= Tillering, Main shoot and 3 Tillers";"26= Tillering, Main shoot and 6 Tillers";"25= Tillering, Main shoot and 5 Tillers";"32= Stem elongation or jointing, 2nd node detectable";"31= Stem elongation or jointing, 1st node detectable";;;;;;;;;;;;;;;;;;;;;;;;;;
;"CO_321:0001229";"HailDmg_E_0to9";"HAILDMG_0_9";"Nursery/Trial evaluation";"After the event";;"BMS_29092";"CIMMYT";"Rosemary Shrestha, Julian Pietragalla";"23-sept-14";"EN";"Wheat";"CO_321:0000126";"Hail damage";"Abiotic stress traits";"Plant damage caused by hail.";;"HailDmg";;"Plant";"Hail damage";;;"CO_321:0000340";"HailDmg Estimation";"Estimation";"Score the damage caused by hail.";;;"CO_321:0000449";"0-9 DAMAGE scale";"Ordinal";"1.0";;;;"0= no damage";"3= low damage";"4= low to intermediate damage";"1= trace";"2= very low damage";"7= high damage";"8= high to very high damage";"5= intermediate damage";"6= intermediate to high damage";"9= very high damage";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;"CO_321:0001230";"HailDmg_E_1to5";"HAILDMG_1_5, HailDmg_N_T_S_M_V";"Nursery/Trial evaluation";"After the event";;"BMS_22717";"CIMMYT";"Rosemary Shrestha, Julian Pietragalla";"25-oct-15";"EN";"Wheat";"CO_321:0000126";"Hail damage";"Abiotic stress traits";"Plant damage caused by hail.";;"HailDmg";;"Plant";"Hail damage";;;"CO_321:0000340";"HailDmg Estimation";"Estimation";"Score the damage caused by hail.";;;"CO_321:0000457";"1-5 DMG scale";"Ordinal";"1.0";;;;"1= none (N)";"4= moderate (M)";"5= very severe (V)";"2= trace (T)";"3 = slight (S)";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;"CO_321:0001231";"HI_Calc_Idx";"HI_index";"Trial evaluation";"After physiological maturity (DS87)";;"BMS_18120";"CIMMYT, T3";"Rosemary Shrestha, Julian Pietragalla, Jean-Luc Jannink";"21-dec-18";"EN";"Wheat";"CO_321:0000123";"Harvest index";"Agronomical traits";"A ratio of grain yield to total above ground biomass.";"Biomass partitioning to grain";"HI";;"Plant";"Biomass partitioning to grain";;;"CO_321:0001030";"HI Computation";"Computation";"Harvest index is expressed in percentage and can be calculated as Harvest index (%) = (Grain yield/Biomass)*100.";"xxxx";"Bell and Fischer, 1994, Reynolds et al., 2001, Pask et al., 2012";"CO_321:0000421";"index";"Numerical";"0.0";"0.0";"1000.0";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;"CO_321:0001232";"HI_Calc_pct";"HI_pct";"Trial evaluation";"After physiological maturity (DS87)";;"BMS_22693";"CIMMYT";"Rosemary Shrestha, Julian Pietragalla";"23-sept-14";"EN";"Wheat";"CO_321:0000123";"Harvest index";"Agronomical traits";"A ratio of grain yield to total above ground biomass.";"Biomass partitioning to grain";"HI";;"Plant";"Biomass partitioning to grain";;;"CO_321:0001030";"HI Computation";"Computation";"Harvest index is expressed in percentage and can be calculated as Harvest index (%) = (Grain yield/Biomass)*100.";"xxxx";"Bell and Fischer, 1994, Reynolds et al., 2001, Pask et al., 2012";"CO_321:0000410";"%";"Numerical";"1.0";"0.0";"100.0";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;"CO_321:0001233";"Hd_date_jd";"HEADD_jd, HEADD, HEADDATE";"Nursery/Trial evaluation";"Heading (spike emergence)(DS55)";"Obsolete/legacy";"BMS_22900";"CIMMYT, T3";"Rosemary Shrestha, Julian Pietragalla, Jean-Luc Jannink";"21-dec-18";"EN";"Wheat";"CO_321:0000007";"Heading time";"Phenological traits";"Heading time extends from the time of emergence of the tip of the spike from the flag leaf sheath to when the spike has completely emerged but has not yet started to flower.";;"Hd";"Head, Heading, H";"Plant";"Heading time";;;"CO_321:0000840";"Hd DS55 date Estimation";"Estimation";"Record date of heading (DS55) when 50% of the spike is emerged (i.e., middle of the spike at the flag leaf ligule) on 50% of all stems.";;"Zadoks et al., 1974,  Pask et al., 2012";"CO_321:0000855";"Julian date (JD)";"Time";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;"CO_321:0001234";"Hd_date_ymd";"HEADD_yyyymmdd, HEADD, HEADDATE";"Nursery/Trial evaluation";"Heading (spike emergence)(DS55)";;"BMS_22899";"CIMMYT";"Rosemary Shrestha, Julian Pietragalla";"25-oct-15";"EN";"Wheat";"CO_321:0000007";"Heading time";"Phenological traits";"Heading time extends from the time of emergence of the tip of the spike from the flag leaf sheath to when the spike has completely emerged but has not yet started to flower.";;"Hd";"Head, Heading, H";"Plant";"Heading time";;;"CO_321:0000840";"Hd DS55 date Estimation";"Estimation";"Record date of heading (DS55) when 50% of the spike is emerged (i.e., middle of the spike at the flag leaf ligule) on 50% of all stems.";;"Zadoks et al., 1974,  Pask et al., 2012";"CO_321:0000850";"yyyymmdd";"Time";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;"CO_321:0001235";"Hd_dto_day";"DTH_days, DTH, HEAD, DAYSHD";"Nursery/Trial evaluation";"Heading (spike emergence)(DS55)";;"BMS_22898";"CIMMYT, T3";"Rosemary Shrestha, Julian Pietragalla, Jean-Luc Jannink";"21-dec-18";"EN";"Wheat";"CO_321:0000007";"Heading time";"Phenological traits";"Heading time extends from the time of emergence of the tip of the spike from the flag leaf sheath to when the spike has completely emerged but has not yet started to flower.";;"Hd";"Head, Heading, H";"Plant";"Heading time";;;"CO_321:0000231";"Hd DS55 days Computation";"Computation";"Number of days required from sowing to spike emergence from the flag leaf (DS55). However, when planting in dry soils in dryland areas it is counted from the first day of rainfall or irrigation which is sufficient for germination, or from emergence date.";"xxxx";"Zadoks et al., 1974,  Pask et al., 2012";"CO_321:0000434";"day";"Duration";"0.0";"40.0";"240.0";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;"CO_321:0001236";"Hd_relat_1to5";"RELTHD_1_5, RELTHD";"Nursery/Trial evaluation";"Heading (spike emergence)(DS55)";;"BMS_23223";"CIMMYT";"Rosemary Shrestha, Julian Pietragalla";"23-sept-14";"EN";"Wheat";"CO_321:0000007";"Heading time";"Phenological traits";"Heading time extends from the time of emergence of the tip of the spike from the flag leaf sheath to when the spike has completely emerged but has not yet started to flower.";;"Hd";"Head, Heading, H";"Plant";"Heading time";;;"CO_321:0000244";"Hd DS55 relative Estimation";"Estimation";"Assessment of heading (DS55) compared to best local check which represents the best locally adopted germplasm at each location grown in standard or normal environment.";;"Zadoks et al., 1974,  Pask et al., 2012";"CO_321:0000460";"1-5 Phenological relative scale";"Ordinal";"0.0";;;;"VE= very early (VE)";"L= late (L)";"VL= very late (VL)";"E= early (E)";"M= moderate (M)";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;"CO_321:0001237";"HeatTol_E_1to5";"HEATTTOL_1_5";"Nursery/Trial evaluation";"After the event";;"BMS_29094";"CIMMYT";"Rosemary Shrestha, Julian Pietragalla";"23-sept-14";"EN";"Wheat";"CO_321:0000176";"Heat tolerance";"Abiotic stress traits";"Plant tolerance to heat conditions.";;"HeatTol";;"Plant";"Heat tolerance";;;"CO_321:0000365";"HeatTol Estimation";"Estimation";"Observe the growth of plants per plot/entry under heat condition and rate the tolerance.";;"Reynolds et al., 2001";"CO_321:0000464";"1-5 TOL scale";"Ordinal";"1.0";;;;"1= highly susceptible";"4= tolerant";"5= highly tolerant";"2= susceptible";"3= intermediate";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
